Зeмeльный фoнд; земфонд
Забор, которым обнесен участок; ограда
Забор, частокол, а в старину еще и оборонительное сооружение; тын
Забор, частокол; в старину – оборонительное сооружение из бревен; тын
Забор, частокол; тын
Забор, решетка; ограда
Забота о душе; опека
Забота о сиротах; опека
Забота, попечение, надзор, наблюдение за недееспособными лицами; опека
Забота; уход
Забродившая добродетель; порок
Забыв переключить клавиатуру на русский язык, я однажды набрал: DHTVZ. Что я хотел набрать?; время
Заварное пирожное с кремом; эклер
Заведение для азартных людей; казино
Заведение для игры в рулетку и карты; казино
Заведение для приема донорской крови; пункт
Заведение с красотками (муз.); кабаре
Заведение, где видел ясные глаза Остапа Бендера администратор Театра Колумба; тюрьма
Заведение, где учатся дети; школа
Заведующая учебным процессом в школе; завуч
Заведующий университетом; ректор
Заведующий хозяйством; эконом
Завершающая здание 4-гранная или многогранная пирамида; шатер
Завершающая фаза уклонения от поражения; победа
Завершающая, итоговая часть, напр. финальная торжественная сцена представления, последняя битва войны; апофеоз
Завершающий этап охоты гепарда; бросок
Завершение постройки в виде высокой пирамиды; шатер
Завершение столба, колонны или торца стены, служ. опорой; импост
Завеса или плита с украшениями на передней стороне алтаря; антепендиум
Заветное место, которое никому не показывают; тайник
Завещательный отказ; легат
Зависимое государство, лицо (перен.); вассал
Зависимость свойств среды от направления; анизотропия
Зависимость силы какого-либо характерного для физ. объекта или процесса эффекта, обычно связанного с излучением или поглощением энергии; спектр
Зависимость, рабство; кабала
Зависимость; в стар. России – долговое обязательство; кабала
Зависимость; кабала
Зависимый крестьянин в феод. Польше; хлоп
Зависимый от феодала у славян; кмет
Зависит ли женский оргазм от качества мужской эрекции?; нет
Завитые кудри; букли
Завитые пряди волос; букли
Завод в Киеве; арсенал
Завод в Москве; борец
Завод режущих инструментов; фрезер
Завод, который производит “горбатые” микролитражки (аббр.); ЗАЗ
Заводской вид грузового транспорта; автокар
Завсегдатай “Клуба Белый Попугай”?; Арканов
Завтрак, обед, ужин; еда
Завязанный кольцом конец веревки, шнура; петля
Завязка для ботинок; шнурок
Завязка у лаптя; обора
Загадка “Полуостров, который жалуется на величину”; Ямал
Загадка в рисунках?; ребус
Загадка из книги Д. Р. Р. Толкиена: “Холодное как лед; Не дышит, но живет; Всегда кольчугу носит и пьет, хоть пить не просит”?; рыба
Загадка на отгадывание слова или фразы, записанных по особым правилам смесью букв, знаков и рисунков; ребус
Загадка, в которой загаданное слово делится на несколько частей – отдельных слов; шарада
Загадка: “Как хорошо тебе и мне, я под тобой, а ты на мне.” Это не то, что Вы подумали, а просто ежик несет ... ?; яблоко
Загадка: “Что не сеяно родится?”; трава
Загадка: “Что ты смотришь на меня, раздевайся, я твоя”?; кровать
Загадка: кто носит шляпу на ноге?; гриб
Загадочная особа; тайна
Загадочный жанр с делением слов; шарада
Загиб, шов на месте соединения тонких металлических листов; фальц
Загибающаяся с краев обложка, в которую вкладываются бумаги; папка
Заглавие книги; титул
Заглавная героиня мюзикла Р. Паулса; Керри
Заглавный герой известной истории о массовом побеге и возвращении угрожал ее автору некой процедурой. Ряд современных атрибутов для этой процедуры ассоциируется у нас с...; черной головой
Заглавный герой оперы А. Рабо; Маруф
Заглавный герой романа Бальзака; Горио
Загнутый за шов излишек ткани для возможного припуска; запас
Заговор небольшой группы; путч
Заголовок крупным шрифтом общий для нескольких статей в газете; шапка
Заголовок, вынесенный на поля (полигр.); глосса
Загородная увеселительная прогулка компанией с закуской на открытом воздухе; пикник
Загородный деревянный дом; шале
Загородный дом для летнего отдыха; дача
Загородный дом с садом; др.-рим. поместье; вилла
Загородный дом с садом; вилла
Загородный дом; вилла
Загородный домик в горах Швейцарии; шале
Загороженное место для скота; загон
Загороженное решеткой место под печкой или под лавкой, где держат зимою домашнюю птицу; шосток
Заготовка для изготовления Буратино; полено
Заготовка для теста; опара
Заготовка из воска для сот; вощина
Заготовка овощей впрок; солка
Заготовка, шаблон документа (разг.); рыба
Заготовленное впрок; запас
Заграждение из подручных предметов и материалов?; баррикада
Заграждение из срубленных деревьев, используемое в славянских поселениях от набегов кочевников; засека
Заграждение, преграда; барьер
Заграждения в воздухе, препятствующие полету самолетов противника; барраж
Заграничный смычковый музыкальный инструмент с одной, двумя или тремя струнами; ребаб
Загребущая “часть” слона; хобот
Загребущий спортинвентарь; весло
(др .-егип. блаженный, просветленный) В египетской мифологии одна из душ-сущностей человека, его загробное воплощение; ах
Загрузочное устройство; лоток
Загрязненный дымами и пылью воздух, во влажную погоду с туманом; смог
Задание для проверки знаний, способностей, выяснения психич. черт испытуемого; тест
Задание на выполнение работ; наряд
Задание на дом; уроки
Задание, поручение; дипломатич. представительство; миссия
Задание, поручение; миссия
Заданное командованием взаимное расположение кораблей в походе или бою; ордер
Задать его означает убежать со всех ног; дер
Задача N1 для любого организма в современном суровом мире?; выживание
Задача действительности по Круглову; бог
Задача, стоящая перед феном; сушка
Задвижка, заслонка в дымоходах заводских печей; шибер
Заделка семян в верхние слои почвы; посев
Задержание, мера пресечения; арест
Задержание; пьеса Ануя; арест
Задержание; арест
Задержка в движении от скопления движущих людей, предметов, пробка; затор
Задира, драчун; вояка
Задира, дуэлянт; бретер
Задиристый, придирчивый, язвительный человек; заноза
Задний отдел пищеварительного канала у ряда позвоночных животных; клоака
Задний план картины, изображения; фон
Задняя мачта парусного судна; бизань
Задняя сторона туловища; спина
Задняя часть летательного аппарата?; хвост
Задняя часть ступни; пятка
Задняя часть судна; юж. созвездие; корма
Задняя часть судна?; корма
Задняя часть сцены, служащая резервным помещением для установки декораций; арьерсцена
Задняя часть тела у некоторых животных; хвост
Задняя часть туловища лошади; круп
Задняя часть туловища человека; спина
Задняя часть чего-нибудь; зад
Задняя, конечная часть чего-нибудь движущегося; хвост
Задолго до плавания папанинцев в далекий путь на льдине пустились человек, бык, орел и дракон. О чем идет речь?; герб Исландии
Задолженность по векселям; облиго
Задорный народный танец; пляска
Задуманное дело, замысел; затея
Задушевный друг Дездемоны; Отелло
Задушевный разговор; беседа
Задушевный стиль негритянской музыки; соул
Заезд в испытаниях лошадей в розыгрыше крупного приза; гит
Заезд в розыгрыше приза; гит
Заемное письмо, вексель; итал. скульптор, архитектор; камбио
Заемное письмо, вексель; камбио
Зажигалка; ронсон
Зажим на аккумуляторе; клемма
Зажимное устройство в карандаше; цанга
Зажимное устройство; тиски
Зажиточный крестьянин в революционной России; кулак
Зажиточный крестьянин в современной Турции; ага
Зазор между сопряженными поверхностями частей машин; люфт
Заинтересованность в совершении чего-либо; стимул
Закавказская река-граница; Аракс
Закавказская страна, где производят знаменитый коньяк “Арарат”?; Армения
Закваска, заправленное ею или дрожжами тесто; опара
Заквашенное молоко в Ср. и Пер. Азии; катык
Заквашенное молоко в Средней Азии; катык
Заквашенный в целях длительного хранения сочный корм?; силос
Закл. раздел муз. произведения; кода
Закладка для книг; ляссе
Заклинание, которому приписывалась чудодейственная сила; абракадабра
Заключение под стражу; арест
Заключенная; узница
Заключенный времен графа Монте-Кристо; узник
Заключенный, pоющий подкоп для побега?; крот
Заключит. элемент в гимнастич. упражнениях; соскок
Заключительная стадия соревнований?; финал
Заключительная сцена оперы или балета; финал
Заключительная часть повествования, литературного произведения, спектакля, кинофильма; эпилог
Заключительная часть спортивного состязания на скорость; финиш
Заключительная часть спортивных игр; финал
Заключительная часть трагедии в др. Греции; экзод
Заключительное восклицание в молитве; аминь
Заключительное восклицание молитв, проповедей в значении верно, истинно; аминь
Заключительное слово христианских молитв; аминь
Заключительный элемент упражнения на гимнастическом снаряде; соскок
Закон воздаяния в инд. религии и философии, по которому судьба души в следующих воплощениях зависит от ее добрых и злых дел в предыдущих; карма
Законное число участников собрания?; кворум
Законный предшественник Пиночета; Альенде
Законодательство; право
Законсервированное в масле кушанье из мелких копченых рыбок семейства сельдевых; шпроты
Законченная партия игры в бридж; роббер
Законченная часть драматического произведения или театрального представления; акт
Законченное высказывание; фраза
Законченный круг игры в некоторых карточных играх; роббер
Законченный мошенник; жулик
Законченный по построению эпизод в опере, оратории или кантате, исполняемый одним певцом в сопровождении оркестра; ария
Законченный ряд тематически близких произведений; цикл
Законченный цикл, весь объем специального обучения; курс
Закончите арабскую поговорку: “Когда ты говоришь, слова твои должны быть лучше твоего ...”?; молчания
Закончите стихотворение Евгения Лукина: Посмотри: встает цунами // Над скорлупками квартир, // Так, разделываясь с нами // ...; красота спасает мир
Закрепитель для суфле?; агар
Закрепитель, в традиц. фотографическом процессе фиксирует (делает устойчивым) проявленное изображение; фиксаж
Закрепление чего-то за кем-то, делающее что-то неприкосновенным; броня
Закрепление?; фиксация
Закрома матушки-Земли; недра
Закругленный рукописный и печатный шрифт; рондо
Закрывающая что-нибудь или задвигающаяся часть какого-нибудь механизма; шторка
Закрывающая, загораживающая кровать занавеска; полог
Закрывающее голову и верхнюю часть тела легкое женское покрывало из кисеи, кружев, шелка; фата
Закрывающееся крышкой отверстие; люк
Закрывающееся отверстие в полу, в борту, на крыше; люк
Закрывающееся отверстие; люк
Закрытое помещение в конюшне для содержания лошади без привязи; денник
Закрытая емкость, устройство для превращения жидкости в пар; котел
Закрытая информация, секрет; тайна
Закрытая площадка железнодорожного вагона; тамбур
Закрытая полость внутри какого-нибудь органа; камера
Закрытие предприятия и массовые увольнения как средство противодействия требованиям со стороны рабочих; локаут
Закрытое пространство внутри аппарата, сооружения, машины; камера
Закрытые, спрятанные ценности; клад
Закрытый внутренний двор в середине древне-римского жилища; атрий
Закрытый сосуд для жидкостей или газов?; баллон
Закрытый сосуд для превращения воды в пар; котел
Закупорка для бутылок; пробка
Закуска, ужин стоя; аляфуршет
Закуска; места в газете, замазанные в цензуре краской; икра
Закуска; икра
Закусочная часть конской сбруи; удила
Закусочная, пивная в Америке (устар.); салун
Закусочная, пивная; Закусочная, пивная в Америке; салун
Закусочная, ресторанчик; бистро
Зал в театре для пребывания зрителей перед началом спектакля, во время антрактов; фойе
Зал ожидания в англ. парламенте; лобби
Зал ожидания в ателье, парикмахерской; салон
Зал, отделяющий вход от внутренней части здания?; вестибюль
Зал; холл
Залив Кораллового моря у побережья острова Новая Гвинея; Папуа
Залив Красного моря; Акаба
Залив Охотского моря у Сахалина; Анива
Залив Охотского моря у южного берега Сахалина; Анива
Залив Чукотского моря; Коцебу
Залив в Адриатическом море; Влера
Залив в Азовском море; Сиваш
Залив в Беринговом море; Анана
Залив в Индии; Кач
Залив в Мраморн. море; Эрдек
Залив в Охотском море; Анива
Залив в С. Ледовитом океане, Канада; Бутия
Залив в С. Ледовитом океане, море Лаптевых; Анабарский
Залив в Сардинии; Асинара
Залив в Средиземном море; Габес
Залив в Тихом океане; Аляска
Залив в низовьях реки; лиман
Залив в устье реки; лиман
Залив водного бассейна; бухта
Залив западного побережья Ирландии; Клу
Залив на побережье Внутреннего Японского моря; Баппу
Залив на юго-восточном побережье Франции; Бер
Залив реки с замедленным течением; заводь
Залив с невысокими берегами; лиман
Залив у вост. побережья Великобритании; Уош
Залив у южного побережья острова Хоккайдо в Японии; Утиура
Залив, образованный морем в низовьях реки, а также соленое озеро вблизи моря, обычно богатое целебными грязями; лиман
Залив, образующийся при затоплении морем долины реки; лиман
Заливистое птичье пение; щекот
Заливистое птичье пенье; щекот
Заливная спортплощадка?; каток
Заливное для лица?; краска
Заливное; желе
Залог; заклад
Заложник, даваемый в обеспечение договора; аманат
Залп революции; Аврора
Замаскированный в лесу радиопередатчик, периодически подающий кратковременные сигналы; лиса
Замечательный армянский коньяк, давший название горе, к которой потом причалил Ной; Арарат
Замедленная и укороченная рысь лошади; трот
Замедленный темп исполнения муз. произведения; адажио
Замена одних неисправностей другими. Неизв; ремонт
Замена речевого сопровождения фильма новым, на другом языке; дубляж
Замена речевой части кинофильма новой, записанной на другом языке; дубляж
Замена сложных матем. объектов более простыми для рассмотрения, напр. кривой линии на ломаную прямую; аппроксимация
Заменитель бузины в Киеве; дядька
Заменитель кожи: плотная многослойная ткань, пропитанная особым составом; кирза
Заменитель кожи; накладка, закрывающая замочную скважину; футор
Заменитель кожи; ворсит
Заменитель крахмала и сахара при диабете; инулин
Заменитель монеты?; жетон
Заменитель мяча в бадмингтоне; волан
Заменитель сахара для больных диабетом; ксилит
Замерзшая и затвердевшая вода; лед
Замеситель с иксом; миксер
Заметное отличие произношения человека, говорящего на чужом языке; акцент
Заметное улучшение, изменение в состоянии, развитии; сдвиг
Замечательный сорт яблок; анис
Замечательный человек Рихард Зорге – с точки зрения японских спецслужб; шпион
Замещение наследственного монарха временным правителем?; регентство
Заминка в беге лошади, а также скачок при переходе на рысь; сбой
Замкнутая группа, имеющая общие интересы и ресурсы; клан
Замкнутая группировка людей, считающих себя избранными; клан
Замкнутая кривая, одно из конических сечений; эллипс
Замкнутая общественная группа людей, объединенных определенным занятием и представлением об общем происхождении; каста
Замкнутая поверхность, все точки которой равноудалены от ее центра; сфера
Замкнутая цепь проводников; контур
Замкнутое пространство в двигателе внутреннего сгорания; камера
Замок Шварценбергов на Влтаве; Орлик
Замок для ключей; кольцо
Замок, дворец в мавританск. стиле в Испании; алькасар
Замок, к которому нужно подбирать не отмычку, а таран; засов
Замороженная вода; лед
Заморская опись; реестр
Заморская отбивная; стейк
Заморский “притон” контрабандистов из “Бриллиантовой руки”; аптека
Заморский задаток; аванс
Заморский фрукт, который лучше не совмещать с творогом; киви
Заморский человеконенавистник?; мизантроп
Заморское баклажанное блюдо; икра
Заморское осушение; дренаж
Замужняя женщина аристократического круга; леди
Замурованное подвальное помещение; склеп
Замученная кляча (по Далю); одер
Замшевидная плотная кожа хромового дубления; велюр
Замысел, заранее обдуманный маневр?; комбинация
Замысел, план; проект
Замысел, предприятие; затея
Занавеси со складками из тяжелых тканей; драпри
Занавеси со складками, преимущественно из тяжелой ткани; драпри
Занавеска; штора
Занавесь; штора
Занимательное освещение горизонта; заря
Занимая почти половину всей площади Южной Америки Бразилия граничит со всеми юж.-амер. странами, кроме Эквадора и... Назовите вторую страну; чили
Заносчивость с задранным носом; гонор
Заносчивость, высокомерие, чванливость; гонор
Заносчивый хвастун, бахвал?; фанфарон
Занят плодовыми деревьями?; сад
Занятие в форме беседы преподавателя с опрашиваемыми студентами?; коллоквиум
Занятие в школе; пьеса Ионеско; урок
Занятие в школе; урок
Занятие для развлечений, забава; затея
Занятие для развлечения, забава; затея
Занятие, которое иногда не стоит того, чтобы горели свечи; игра
Занятие, труд, деятельность; работа
Занятия им позволяют поддерживать хорошую физическую форму; спорт
Заоблачная вершина, привлекающая к себе не только альпинистов; идеал
Заостренный выступ предмета; мысок
Заостренный железный стержень со шляпкой; гвоздь
Заостренный металлический стержень для приготовления шашлыка; шампур
Заостренный металлический стержень с ушком; игла
Заостренный стальной стержень-инструмент для обнаружения заложенных мин; щуп
Запад США, шт. Калифорния (город в Америке); Анахайм
Запад США, шт. Калифорния, пригород Сан-Франциско (город в Америке); Беркли
Запад Франции, на р. Мен, административный центр департамента Мен и Луара (город в Европе); Анже
Западнобелорусский пирог-сковородник?; рагойш
Западносемитский бог, покровитель земледелия; дагон
Западный ветер в тропосфере в тропических широтах; антипассат
Западный танец; тустеп
Западня для ловли зверей; пасть
Запал в патроне; пистон
Запальная палочка; свеча
Запальчивое, вызывающее поведение, вызывающий тон; задор
Запас доверия, авторитета (перен.); кредит
Запас товаров, материалов, сложенных в одном месте; склад
Запас чего-либо на случай надобности; резерв
Запас, который просит пить и есть; резерв
Запас, откуда черпают новые силы, ресурсы; резерв
Запасный углевод в артишоке; инулин
Запаянная стеклянная трубочка, используемая для хранения стерильного лекарства, хим. реактива; ампула
Запаянный стеклянный сосуд для сохранения лекарств; ампула
Запеканка из крупы, мучных изделий, творога с фруктами, сладостями?; пудинг
Запеканка из риса; пудинг
Запекшаяся почва?; такыр
Запеченное кушанье в виде батона с начинкой; рулет
Запеченое блюдо из мяса или грибов; жюльен
Запечный чулан; голбец
Записанные поступки и высказывания Мухаммеда; сунна
Заплата (разг.); латка
Заплатка для больного зуба; пломба
Заплетенные волосы; коса
Заплечный “рояль”; аккордеон
Заплечный вещевой мешок с карманами; рюкзак
Заплечный портфель; ранец
Заплечных дел мастер (устар.); кат
Заповедник в Африке, в котором разрешена охота на диких зверей; сафари
Заповедник в Буркина-Фасо; Арли
