Какое слово означает танец?; Степ
Куда укусил шмель сватью бабу Бабариху в "Сказке о Царе Салтане"?; Нос
Сколько литров воды в одном кубическом метре?; 1000
Имя главного героя в трилогии "Властелин колец"?; Фродо
Как называется наука о небесных телах?; Астрономия
День Независимости Украины?; 24 Августа
Как называется явление, когда Луна закрывает полностью или частично Солнце?; Солнечное затмение
Как называется японская вишня?; Сакура
Как называются самые маленькие обезьянки?; Игрунки
Из какой крупы готовят легендарную гурьевскую кашу?; Манной
Кто сказал, что красота спасет мир?; Ф.М. Достоевский
Сколько секунд в часе?; 3600
Как называют молодого неопытного матроса?; Салага
Какая из этих птиц умеет летать? (Какаду); Какаду
Как называется духовой музыкальный инструмент с воздушным резервуаром?; Волынка
Мохито это коктейль из:; Рома и мяты
Какой торт существует?; Наполеон
Что вручалось победителю Олимпийских игр в Древней Греции?; Оливковая ветвь
Чего нет у слона?; Рогов
Главная улица Киева?; Крещатик
Фразеологизм - это...; Сочетание слов
Сколько дней в феврале в высокостный год?; 29
Сколько дней в году; 365
Что называют красной планетой?; Марс
Как называют толстую тетрадь?; Общая
Как назвать одним словом отстранение президента от должности?; Импичмент
Первый месяц весны; Март
Куда дует восточный ветер?; На запад
Устройство для печати; Принтер
Какое из этих растительных масел появилось на Руси позже других?; Подсолнечное
Кто цапнул Грека из русской скороговорки?; Рак
Самый большой остров на планете - это; Гренландия
Самый дешевый вид транспорта в советское время?; Трамвай
Какую часть общего веса составляет голова младенца в момент рождения?; Четвертую
Способностью к быстрой смене чего славятся хамелеоны?; Цвета
Документ, официально подтверждающий какой-либо факт, имеющий юридическое значение, либо право?; Свидетельство
Как называется собрание географических карт?; Атлас
Состояние, выражающееся в бессознательных, нелепых или опасных действиях, совершаемых во сне, которые не запоминаются; Сомнамбулизм
Поэма Н.А. Некрасова " Мороз - красный ..."; Нос
Какие сказочные герои пели песенку о том, что им не страшен серый волк?; Три поросенка
Отца писателя Николая Гоголя звали…; Василий
После каких слов Шерлока Холмса обычно прозревал доктор Ватсон?; Элементарно!
Друг домовенка Кузи из мультфильма?; Нафаня
В каком году был покорен Эверест?; 1953
Как водители-профессионалы называют автомобильный руль?; Баранка
Что создает резистор в электрической цепи?; Сопротивление
Состояние души или посмертное место наказания грешников?; Ад
Трасса для скоростного движения автомобилей?; Автомагистраль
Дуся - это уменьшительное имя от; Евдокия
Фильмы какого мастера кунг-Фу пользовались популярностью в советских видеосалонах 80-х?; Брюс-Ли
Вид спорта на лыжах с винтовкой; Биатлон
Первым человеком в космосе был; Ю. Гагарин
Что не входит в состав системного блока компьютера???; Мышка
Собиратель редких и ценных книг?; Библиофил
Зеница ока - это; Зрачок
Кто сказал:"хотели как лучше,а получилось как всегда"; Черномырдин
Какой транспорт появился в 80-х годах 19 века?; Трамвай
Кто "прорубил окно в Европу"?; Петр 1
Кто написал "Война и мир"?; Л.Н. Толстой
На чём писали в Древнем Египте?; На папирусе
Кто из них-персонаж "Ревизора" Н.В.Гоголя?; Земляника
Что такое Геодезия?; Наука
Равнобедренный треугольник - это треугольник, у которого ...; Две стороны равны
В каком городе находится улица Дерибасовская?; Одесса
Что такой ДПС?; Дорожнопатрульная служба
На берегу какой реки расположен г.Набережные Челны?; Кама
Какого цвета звезды на флаге Америки?; Белого
Как звали главную героиню войны и мира?; Наталья
Итальянский "близкий родственник" Буратино; Пиноккио
Что, согласно историческому материализму, определяет сознание?; Бытие
Металл ртуть - это; Жидкое тело
Как зовут Ньютона?; Исаак
Что такое пармезан?; Сыр
Что помогала изучать Мальвина Буратино в одноименной сказке?; Арифметику
Какая из перечисленных программ является браузером?; Opera
Имя отца В.И. Ленина?; Илья
Приблизительное значение числа "пи"?; 3,14
Что такое гаспачо?; Суп
Как именуется главный проводник пассажирского поезда?; Бригадир
Как называют спортсмена - метателя диска?; Дискобол
Какие ножки бывают у избушки в русских сказках?; Курьи
Что было в голове у Винни-Пуха?; Опилки
Кaкиe животныe спaсли Рим?; Гуси
Кто был первым президентом Украины?; Леонид Макарович Кравчук
Кто был первым американским миллиардером?; Рокфеллер
Как зовут диснеевского летающего слона?; Дамбо
Как в народе называют панельные пятиэтажные дома, в огромном количестве возводившиеся в 60-е годы?; Хрущобы
Как называется детская игра, в которой проигрывает заговоривший первым?; Молчанка
Упражнения с каким предметом нет в художественной гимнастике?; Прялка
Какое животное дало название необходимой принадлежности персонального компьютера?; Мышь
Какой город находится не в России?; Херсон
Как в 18 веке назывался механизм для приведения в исполнение смертной казни через отсечение головы.; Гильотина
Какой из этих видов спорта - олимпийский? (Керлинг); Керлинг
Сколько цветов на флаге России?; 3
Какой сказочной героине было противопоказано находиться на солнце?; Снегурочка
Кто строит хатки на пруду?; Бобер
Что обычно делает кошка, увидев перед собой злую собаку?; Убегает
Кто из этих американских президентов был убит?; Линкольн
Как в народе называют специальный орнамент на машинах такси?; Шашечки
Кем приходилась сватья баба Бабариха князю Гвидону?; Бабушкой
Какой из этих темпов в музыке - самый быстрый? (Престо); Престо
Кто был символом олимпиады в 1980 году?; Медведь
Какой президент изображён на 1$ купюре?; Джордж Вашингтон
Как называется программа для выхода в интернет?; Браузер
От чего защищает ИБП?; Сбоев в электросети
Как правильно называется кольцо под крышкой,на баклажках?; Контрольное
Недостаток времени на обдумывание ходов в шахматной или шашечной партиях?; Цейтнот
На какой реке стоит город Киев?; Днепр
Какой город написан на денежной купюре достоинством 50 рублей?; Санкт-Петербург
Какое яйцо снесла курочка Ряба?; Золотое
В каком порядке (если смотреть сверху вниз) расположены цвета российского флага?; Белый-синий-красный
Какой знак зодиака идет после Девы?; Весы
Какое звание в Вооружённых Силах РФ следует за званием ефрейтора (на звание выше)?; Младший сержант
Что такое органза?; Ткань
Кого убивает капля никотина?; Лошадь
Какая известная музыкальная группа существует в России?; Машина времени
Игорь Крутой - ...; Композитор
Миниатюрный, переносной проигрыватель аудиокассет или компакт-дисков?; Плейер
Ударный музыкальный инструмент — два металлических диска?; Тарелки
Как называется пара, присутствующая на церемонии бракосочетания вместе с молодыми?; Свидетели
Какой звук слышен, когда решение принимается с огромным трудом?; Скрип
Денежная единица Украины?; Гривна
12 декабря в России отмечается государственный праздник...; День конституции
Вода в твердом состоянии?; Лед
Паразитами являются:; Аскарида и вошь
Что такое большой адронный коллайдер?; Ускоритель частиц
Как называют человека, который плохо плавает?; Топор
На чем художник крепит холст?; На мольберте
Кто написал "Доктор Айболит?; Корней Чуковский
Один из главных героев сказки "Теремок"?; Медведь
В каком из следующих продуктов питания наибольшее содержание алюминия? (В яблоках); В яблоках
Как называется небольшая доска, на которой художник смешивает краски; Палитра
Что значит яблоко раздора?; Кофликт
Как писательская фантазия Майн Рида заставила скакать по прериям "всадника"?; Без головы
Какого города нет в России? (Славянск); Славянск
Каких телевизоров не существует?; Лазерных
Как назывались органы внутренних дел в 1918 году?; Милиция
Известный пес Скуби-...; Ду
Как называется деревянная планка для изготовления рам к картинам?; Багет
Что просил Нафаня у Бабы Яги?; Ватрушки
Самая "главная" пчела в улье?; Матка
Как именуется в юриспруденции процесс рассмотрения дела?; Судопроизводство
Как называются молодожены после регистрации брака?; Муж и жена
Выдающегося русского поэта Тютчева звали; Федор
Зубы у детей с первых месяцев жизни...?; Молочные
Что делали с хирургом в Древнем Египте, у которого пациент умирал во время операции?; Отрубали руки
Кто выстрогал Буратино в сказке "Золотой ключик, или Приключения Буратино"?; Папа карло
Какой сок не может быть с мякотью?; Березовый
Куда кладут зубы с голодухи?; На полку
Что закладывают прежде, чем начать строить дом?; Фундамент
Какой месяц идет десятым?; Октябрь
Как зовут жену Иосифа Кобзона?; Нинель
Автомобиль "Мерседес" назван в честь...; Девушки  (Дочери владельца)
Как называют человека,который знает много языков!?; Полиглот
Сколько дней в мае?; 31
Сколько у человека пальцев?; 20
Какова температура закипания воды в градусах по Цельсию?; 100
 Выберите правильный вариант написания слова? (Привилегия); Привилегия
Мороженое и город во Франции, где его впервые приготовили.; Пломбир
Достопримечательности какого города изображены на купюре в 1000 рублей?; Ярославль
Кто съел колобка, в одноименной сказке?; Лиса
Профессия папы Карло из сказки "Буратино"?; Шарманщик
Самая распространенная религия среди всего населения Земли.; Христианство
В какой группе пела Ольга Орлова?; Блестящие
Aнcaмбль из пяти мyзыкaнтoв?; Квинтет
Какой буквой римляне обозначали тысячелетие?; M
Как переводится с французского фраза: "C est la vie" (Селяви)?; Такова жизнь
"Хенкель-111" это марка производившихся в Германии во время Второй мировой войны...; Самолетов
В каком городе установлен памятник тысячелетию Руси?; Новгород
Какой город не изображен на современных российских купюрах?; Владивосток
Кто основал город Москва?; Юрий Долгорукий
Какая птица не спит ночью?; Сова
Кто такая ЗЛАТОГУЗКА?; Бабочка
Барселона - это город в...; Испании
Как называются сшитые листы чистой бумаги в обложке?; Тетрадь
Что бросают, вызывая соперника на дуэль?; Перчатку
"Резиновый бинт"-; Жгут
Кто автор романа "Герой нашего времени"?; М. Лермонтов
Как в народе называют три гитарных аккорда в тональности ля-минор?; Блатные
Где работал герой комедии "Берегись автомобиля" Дима Семицветов?; В магазине
Из чего делают бензин?; Из нефти
Сколько штатов находится на территории США?; 50
Сколько минут отводится на одну партию в волейболе?; Не ограничено
На сколько месяцев делится лунный год в мусульманском календаре?; 12
Как называется щётка для чистки бутылок?; Ёрш
Сколько цветов на флаге Украины?; 2
Какой тип дорожных знаков пока не существует?; Поощряющие
Какими войсками командует адмирал?; ВМФ
Какой фильм с участием Арнольда Шварценеггера вышел раньше?; Конан-варвар
Какая планета ближе всех находится к Солнцу?; Меркурий
Автор романа "Отцы и дети"?; И.С. Тургенев
Кто такой молотоглав?; Птица
Как называется французский танец с высоким вскидыванием ноги?; Канкан
С помощью какого предмета спортсмены прыгают в высоту?; Шест
Образование белков происходит в...?; Рибосоме
Отчество Филипа Киркорова?; Бедросович
Кто такой Шрек?; Огр
Что "прорубил" Пётр I в Европу ?; Окно
Как звали божью коровку в мультфильме "Лунтик"?; Мила
"Раз в крещенский вечерок Девушки гадали: За ворота башмачок, Сняв с ноги, бросали" кто автор стихотворения?; Жуковский В.А.
На каком музыкальном инструменте играют в калошах?; На органе
Как кот Матроскин из Простоквашина назвал своего теленка?; Гаврюша
Каким поэтизированным статусом по отношению к остальным зверям наделили льва?; Царь
За какой промежуток времени Земля совершает один полный оборот вокруг своей оси?; 1 сутки
Магнитный носитель информации, это?; Дискета
Как звали главного героя фантастического романа Александра Беляева "Человек-Амфибия"?; Ихтиандр
Какая кнопка на компьютере подтверджает выполнение операции?; Enter
В каком городе находится Эйфелева башня?; В париже
За какой промежуток времени Земля совершает один полный оборот вокруг Солнца?; 1 год
Человек, который защищает чьи-нибудь интересы в суде?; Адвокат
В каком городе можно увидеть Шуховскую телебашню?; Москва
Самый старый по возрасту город Российской Федерации?; Дербент
Другое название черного леопарда?; Пантера
Коробка для очков?; Футляр
Что изучает ботаника?; Растения
Столица Швейцарии?; Берн
Что в начале 20 века в России прозвали "кукушкой"?; Паровоз
Как называется ансамбль из 9 музыкантов?; Нонет
Кто такие аборигены?; Коренные обитатели
Когда закончилась Вторая Мировая война?; 2 сентября 1945 года
Третья планета от Солнца?; Земля
О каком мальчике пел Леонид Агутин в одной из своих песен?; О босоногом
Птица, не выращивающая своих птенцов?; Кукушка
В состав какого из этих десертов входит сыр?; Тирамису
Лекарь мнущий бока; Массажист
Кто написал произведение "Преступление и наказание"; Ф.М. Достоевский
Кто занимается отправлением правосудия?; Судья
Какого числа началась Великая Отечественная Война?; 22 июня
Произведение "Мцыри" написал ?; Лермонтов
В каком платье летом менее жарко ?; Белое
Назовите природный источник света; Солнце
Какой город Росии называют культурной столицей?; Санкт-Петербург
Чистая победа в вочточных единоборствах; Иппон
Из какого дерева делают спички?; Осина
Сколько дней в высокосном году?; 366
Что из перечесленного не является сортом яблок?; Молдавский ранний
Сколько цветных шаров используют в снукере?; 6
Русская народная мудрость гласит: "Мила та сторона, где ... резан"?; Пуп
У Николая II были Ворон и Иман. А кто это?; Собаки
Валюта Хорватии названа в честь:; Куницы
Кто является композитором знаменитой песни "Айсберг", исполненной Аллой Пугачевой?; Николаев
Как звали девочку из сказки В.Катаева "Цветик-Семицветик?; Женя
Чья должность из этих членов экипажа судна самая низшая?; Юнга
Как называется хоккей с мячом, он же русский хоккей?; Бенди
Кто в сказке помогал Крошечке-Хаврошечке?; Корова
Когда был основан Санкт-Петербург?; 1703
Снежная королева обещала подарить Каю весь мир и кое-что в придачу. Что именно?; Пара коньков
Параскавидекатриафобия — это...; Боязнь пятницы 13-го
Государство, территориально внутри другого государстве - это...; Анклав
Какого дерева не существует?; Пирожковое
Какое небесное тело вращается вокруг Земли?; Луна
Цепь островов, отделяющих Охотское море от океана.; Курильские острова
Какое из этих слов обозначет не только животное, но и стенобитное орудие?; Баран
Чем в стародавние времена били по голове карточного игрока, уличенного в плутовстве?; Канделябром
Что означает выражение "Сизифов труд"?; Бесплодная работа
Чему равна сумма всех углов треугольника?; 180 градусов
Летоисчесление в современной России ведется от ...; Рождения Христа
"Как звали кота из романа Булгакова "Мастер и Маргарита" ?; Бегемот
Как иначе называют плод инжирового дерева?; Фига
Как называют вступительную часть хоровой песни?; Запев
Участник партнёрской программы, зарегистрировавшийся по рекомендации другого участника?; Реферал
Огромные морские волны, возникающие чаще всего в результате сильного подводного землетрясения, когда происходит быстрое изменение рельефа дна?; Цунами
На каком строительном инструменте можно играть смычком?; Пила
Женщина, "придумавшая" праздник 8 Марта?; Клара Цеткин
Какой врач занимается проблемами пожилого возраста?; Геронтолог
Кто такая Мила Йовович?; Актриса
Кто играл главную роль в фильме "Терминатор"?; Арнольд Шварценегер
Что делает таксидермист?; Чучела из животных
Кто из участников вытягивания репки имел собственное имя?; Собачка
Как называется часть пальца от сустава до сустава?; Фаланга
Что надевает невеста на голову?; Фату
Какая сказочная рыбка исполняет желания?; Золотая
Как называется декоративное карликовое дерево, во всем другом похожее на настоящее?; Бонсай
Что из перечисленного не является сортом груши?; Ренклод
Какая страна является родиной ананаса?; Бразилия
Как в народе называются финансовые институты, обещающие вкладчикам золотые горы?; Пирамиды
Главный персонаж русских народных кукольных представлений?; Петрушка
Какое животное на Руси запускали в сосуд с молоком, чтобы оно не скисало?; Лягушка
Какой актёр сыграл роль Джека Воробья в фильме "Пираты Карибского моря"?; Джонни Депп
Что такое копирайтинг?; Создание статей
Валторна - инструмент...; Духовой
Сказочное существо, живущее под мостами - это...; Тролль
Фильм, снятый по циклу книг Айзека Азимова, назывался:; Я, робот
Кого Маяковский одел в штаны?; Облако
Кем был Цветик в сказке Н. Носова про Незнайку?; Поэтом
Какая из этих сказок не принадлежит перу Г.Х. Андерсена?; Золушку
Как в футболе называют удар, когда мяч по огибающей залетает в ворота?; Сухой лист
Какие машины предпочитал угонять Юрий Деточкин?; Волга
Чем Остап Бендер призывал ударить по бездорожью и разгильдяйству?; Автопробегом
Какого цвета лента Георгиевского креста, учреждённого в 1807 году?; Черно-оранжевая
Как называют новичка за рулем?; Чайник
«Орган зрения» автомобиля ?; Фара
Что из этого требует доказательства?; Теорема
Какого цвета нет на флаге ФРГ?; Белого
Что россияне празднуют 8 июля?; День семьи
Сколько оборотов делает Земля вокруг своей оси за 24 часа?; 1
Что не является обувью?; Вязёнки
Где родился А.С. Пушкин?; Москва
Медведь из "Смешариков"?; Копатыч
Сколько серий в фильме : "Семнадцать мгновений весны"?; 12
Известный датчанин Ганс Христиан Андерсен прославился тем, что умел из чистой бумаги делать:; Сказки
Из скольких слоев состоит волос человека?; 3
Как переводится фраза с английского "cats and dogs", если она идет после слов "it s raining"?; Льет как из ведра
Японское искусство складывания фигурок из бумаги.; Оригами
Какой из этих предметов носят на голове?; Диадема
Кого обслужевает на круизном лайнере стюард?; Пассажиров
Каким из этих слов называют группу островов?; Архипелаг
Древние римляне называли друзей ворами, причем ворующими самое дорогое. Что именно?; Время
Как называется боковая поверхность монеты?; Гурт
Какую фамилию носила управдом в фильме "Бриллиантовая рука"?; Плющ
Что, по мнению американского писателя К. Морли, придумала, скорее всего, женщина, которую целовали в лоб?; Каблук
